ISIN,COUPON,ISSUE DATE,MATURITY DATE,CLOSE PRICE - 10,CLOSE PRICE - 11,CLOSE PRICE - 12,CLOSE PRICE - 13,CLOSE PRICE - 14,CLOSE PRICE - 17,CLOSE PRICE - 18,CLOSE PRICE - 19,CLOSE PRICE - 20,CLOSE PRICE - 21
CA135087A610,1.50%,7/30/2012,6/1/2023,100.71,100.7,100.67,100.65,100.61,100.5,100.45,100.44,100.43,100.48
CA135087B451,2.50%,7/2/2013,6/1/2024,103.02,102.98,102.97,102.93,102.88,102.67,102.57,102.54,102.53,102.62
CA135087G328,0.50%,10/11/2016,3/1/2022,100.04,100.03,100.03,100.03,100.02,100.02,100,100,100,100.01
CA135087H490,1.75%,10/6/2017,3/1/2023,100.94,100.93,100.91,100.88,100.86,100.76,100.71,100.71,100.71,100.75
CA135087J546,2.25%,10/5/2018,3/1/2024,101.82,101.80 ,101.77,102.24,102.18,101.99,101.91,101.9,101.88,101.97
CA135087J967,1.50%,4/5/2019,9/1/2024,100.56,100.63,100.18,100.66,100.52,100.29,100.21,100.15,100.17,100.27
CA135087K601,1.50%,11/4/2019,2/1/2022,99.57,99.56,99.56,100.05,100.04,100.04,100.03,100.03,100.02,100.02
CA135087K866,1.50%,1/27/2020,5/1/2022,99.85,99.84,99.84,100.33,100.31,100.28,100.27,100.27,100.26,100.27
CA135087L286,0.25%,5/4/2020,8/1/2022,99.8,99.79,99.78,99.7,99.76,99.68,99.7,99.7,99.72,99.74
CA135087L369,0.25%,8/17/2020,11/1/2022,99.05,99.04,99.03,99.52,99.5,99.43,99.4,99.42,99.43,99.46
CA135087L690,0.25%,10/16/2020,4/1/2024,97.96,97.96,97.93,97.92,97.86,97.68,97.61,97.6,97.6,97.71
CA135087L773,0.25%,10/26/2020,2/1/2023,98.81,98.81,98.79,99.28,99.26,99.18,99.12,99.1,99.15,99.2
CA135087L856,0.25%,2/5/2021,5/1/2023,99.08,99.07,99.05,99.04,99.01,98.9,98.85,98.87,98.87,98.92
CA135087M359,0.25%,5/14/2021,8/1/2023,98.81,98.8,98.78,98.69,98.73,98.61,98.55,98.55,98.56,98.61
CA135087M508,0.75%,7/12/2021,10/1/2024,98.56,98.56,98.53,98.48,98.44,98.21,98.12,98.13,98.14,98.28
CA135087M763,0.50%,8/9/2021,11/1/2023,98.97,98.96,98.93,98.84,98.87,98.73,98.67,98.65,98.66,98.72
CA135087M920,0.75%,10/22/2021,2/1/2024,99.2,99.2,99.16,99.13,99.09,98.92,98.84,98.84,98.83,98.9
CA135087UM44,9.25%,12/15/1991,6/1/2022,103.39,103.36,103.33,103.28,103.21,103.16,103.12,103.1,103.03,103.02
CA135087UT96,8.00%,8/17/1992,6/1/2023,109.62,109.59,109.54,109.61,109.42,109.28,109.2,109.18,109.11,109.15
CA135087ZU15,2.75%,8/2/2011,6/1/2022,100.9,100.89,100.88,100.91,100.84,100.8,100.78,100.78,100.76,100.77
